Date,Symbol,BTO/ATC,Time
"Thu, 07/19/2018",NUE,BTO,9:00 AM ET
"Thu, 07/19/2018",BX,BTO,BMO
"Thu, 07/19/2018",TSM,BTO,8:45 AM ET
"Thu, 07/19/2018",DPZ,BTO,7:30 AM ET
"Thu, 07/19/2018",PPG,BTO,9:35 AM ET
"Thu, 07/19/2018",KEY,BTO,6:30 AM ET
"Thu, 07/19/2018",PM,BTO,7:00 AM ET
"Thu, 07/19/2018",BK,BTO,6:30 AM ET
"Thu, 07/19/2018",DHR,BTO,6:00 AM ET
"Thu, 07/19/2018",BBT,BTO,5:45 AM ET
"Thu, 07/19/2018",RPM,BTO,6:45 AM ET
"Thu, 07/19/2018",SNA,BTO,6:30 AM ET
"Thu, 07/19/2018",ABB,BTO,5:00 AM ET
"Thu, 07/19/2018",ADS,BTO,7:30 AM ET
"Thu, 07/19/2018",SAP,BTO,BMO
"Thu, 07/19/2018",GPC,BTO,8:30 AM ET
"Thu, 07/19/2018",TRV,BTO,6:55 AM ET
"Thu, 07/19/2018",UNP,BTO,8:00 AM ET
"Thu, 07/19/2018",DOV,BTO,6:50 AM ET
"Thu, 07/19/2018",WBC,BTO,6:30 AM ET
"Thu, 07/19/2018",FITB,BTO,6:30 AM ET
"Thu, 07/19/2018",SON,BTO,6:50 AM ET
"Thu, 07/19/2018",HOMB,BTO,8:15 AM ET
"Thu, 07/19/2018",RCI,BTO,7:00 AM ET
"Thu, 07/19/2018",GTLS,BTO,6:00 AM ET
"Thu, 07/19/2018",SCHL,BTO,7:00 AM ET
"Thu, 07/19/2018",SASR,BTO,7:00 AM ET
"Thu, 07/19/2018",POOL,BTO,7:00 AM ET
"Thu, 07/19/2018",TTS,BTO,7:00 AM ET
"Thu, 07/19/2018",GATX,BTO,8:30 AM ET
"Thu, 07/19/2018",SYNT,BTO,8:30 AM ET
"Thu, 07/19/2018",CTG,BTO,6:55 AM ET
"Thu, 07/19/2018",WBS,BTO,7:30 AM ET
"Thu, 07/19/2018",EWBC,BTO,8:00 AM ET
"Thu, 07/19/2018",STBA,BTO,7:30 AM ET
"Thu, 07/19/2018",SBNY,BTO,5:00 AM ET
"Thu, 07/19/2018",WNS,BTO,6:00 AM ET
"Thu, 07/19/2018",AMRB,BTO,9:15 AM ET
"Thu, 07/19/2018",MBFI,BTO,8:05 AM ET
"Thu, 07/19/2018",KB,BTO,BMO
"Thu, 07/19/2018",ICBK,BTO,8:30 AM ET
"Thu, 07/19/2018",INBK,n/a,DMH
"Thu, 07/19/2018",LION,n/a,DMH
"Thu, 07/19/2018",MSFT,ATC,4:05 PM ET
"Thu, 07/19/2018",ISRG,ATC,4:05 PM ET
"Thu, 07/19/2018",SKX,ATC,4:05 PM ET
"Thu, 07/19/2018",ETFC,ATC,4:05 PM ET
"Thu, 07/19/2018",SWKS,ATC,4:15 PM ET
"Thu, 07/19/2018",CE,ATC,4:25 PM ET
"Thu, 07/19/2018",CTAS,ATC,4:15 PM ET
"Thu, 07/19/2018",COF,ATC,4:05 PM ET
"Thu, 07/19/2018",QCRH,ATC,4:00 PM ET
"Thu, 07/19/2018",SFBS,ATC,4:00 PM ET
"Thu, 07/19/2018",PBCT,ATC,4:00 PM ET
"Thu, 07/19/2018",FFBC,ATC,4:15 PM ET
"Thu, 07/19/2018",WAL,ATC,5:40 PM ET
"Thu, 07/19/2018",LLNW,ATC,4:00 PM ET
